               data_ora        rad  temperatura
2023-04-06 23:07:01.394  -7.174238        40.32
2023-04-06 23:07:01.595  -7.325612        40.32
2023-04-06 23:07:01.810  -6.854669        40.32
2023-04-06 23:07:02.017  -7.106960        40.32
2023-04-06 23:07:02.227  -7.056502        40.32
2023-04-06 23:07:02.434  -7.090141        40.32
2023-04-06 23:07:02.642  -7.191057        40.32
2023-04-06 23:07:02.850  -7.325612        40.32
2023-04-06 23:07:03.058  -7.359251        40.32
2023-04-06 23:07:03.271  -7.039682        40.32
2023-04-06 23:07:03.490  -7.073321        40.32
2023-04-06 23:07:03.655  -7.056502        40.32
2023-04-06 23:07:03.860  -6.804211        40.32
2023-04-06 23:07:04.068  -6.770572        40.32
2023-04-06 23:07:04.276  -6.888308        40.32
2023-04-06 23:07:04.484  -6.686475        40.32
2023-04-06 23:07:04.693  -6.636017        40.32
2023-04-06 23:07:04.901  -6.400546        40.32
2023-04-06 23:07:05.109  -6.602378        40.32
2023-04-06 23:07:05.311  -6.837850        40.32
2023-04-06 23:07:05.519  -6.720114        40.32
2023-04-06 23:07:05.727  -7.039682        40.32
2023-04-06 23:07:05.934  -6.871489        40.32
2023-04-06 23:07:06.148  -6.871489        40.32
2023-04-06 23:07:06.356  -6.888308        40.32
2023-04-06 23:07:06.564  -6.804211        40.32
2023-04-06 23:07:06.773  -6.804211        40.32
2023-04-06 23:07:06.984  -6.888308        40.32
2023-04-06 23:07:07.202  -6.837850        40.32
2023-04-06 23:07:07.411  -7.241515        40.32
2023-04-06 23:07:07.584  -7.022863        40.32
2023-04-06 23:07:07.781  -6.804211        40.32
2023-04-06 23:07:07.989  -6.787392        40.32
2023-04-06 23:07:08.190  -6.736933        40.32
2023-04-06 23:07:08.405  -6.299629        40.32
2023-04-06 23:07:08.613  -6.669656        40.32
2023-04-06 23:07:08.822  -6.720114        40.32
2023-04-06 23:07:09.029  -6.669656        40.32
2023-04-06 23:07:09.238  -6.787392        40.32
2023-04-06 23:07:09.447  -6.955586        40.32
2023-04-06 23:07:09.654  -6.383726        40.32
2023-04-06 23:07:09.863  -6.568740        40.32
2023-04-06 23:07:10.071  -6.770572        40.32
2023-04-06 23:07:10.279  -6.736933        40.32
2023-04-06 23:07:10.487  -6.669656        40.32
2023-04-06 23:07:10.692  -6.736933        40.32
2023-04-06 23:07:10.908  -6.686475        40.32
2023-04-06 23:07:11.127  -6.585559        40.32
2023-04-06 23:07:11.335  -6.518281        40.32
2023-04-06 23:07:11.508  -6.972405        40.32
2023-04-06 23:07:11.707  -6.770572        40.32
2023-04-06 23:07:11.912  -7.039682        40.32
2023-04-06 23:07:12.120  -6.636017        40.32
2023-04-06 23:07:12.329  -6.686475        40.32
