data_ora;rad;temperatura;elevazione;;;;
2023-03-01 03:17:13.933;3316;40.26;40;;;;
2023-03-01 03:17:14.136;3293;40.22;40;;;;
2023-03-01 03:17:14.339;3287;40.26;40;;;;
2023-03-01 03:17:14.558;3301;40.26;40;;;;
2023-03-01 03:17:14.777;3302;40.26;40;;;;
2023-03-01 03:17:14.980;3296;40.26;40;;;;
2023-03-01 03:17:15.136;3309;40.26;40;;;;
2023-03-01 03:17:15.355;3300;40.26;40;;;;
2023-03-01 03:17:15.558;3313;40.22;40;;;;
2023-03-01 03:17:15.761;3306;40.22;40;;;;
2023-03-01 03:17:15.980;3312;40.26;40;;;;
2023-03-01 03:17:16.183;3303;40.22;40;;;;
2023-03-01 03:17:16.386;3303;40.22;40;;;;
2023-03-01 03:17:16.589;3314;40.22;40;;;;
2023-03-01 03:17:16.792;3309;40.22;40;;;;
2023-03-01 03:17:17.011;3319;40.22;40;;;;
2023-03-01 03:17:17.214;3323;40.22;40;;;;
2023-03-01 03:17:17.433;3321;40.22;40;;;;
2023-03-01 03:17:17.636;3347;40.22;40;;;;
2023-03-01 03:17:17.839;3339;40.22;40;;;;
2023-03-01 03:17:18.058;3324;40.22;40;;;;
2023-03-01 03:17:18.261;3327;40.22;40;;;;
2023-03-01 03:17:18.464;3326;40.22;40;;;;
2023-03-01 03:17:18.683;3329;40.22;40;;;;
2023-03-01 03:17:18.855;3352;40.22;40;;;;
2023-03-01 03:17:19.073;3335;40.22;40;;;;
2023-03-01 03:17:19.277;3337;40.22;40;;;;
2023-03-01 03:17:19.480;3328;40.22;40;;;;
2023-03-01 03:17:19.683;3321;40.22;40;;;;
2023-03-01 03:17:19.901;3330;40.22;40;;;;
2023-03-01 03:17:20.105;3306;40.22;40;;;;
2023-03-01 03:17:20.308;3314;40.22;40;;;;
2023-03-01 03:17:20.511;3339;40.22;40;;;;
2023-03-01 03:17:20.714;3326;40.22;40;;;;
2023-03-01 03:17:20.933;3329;40.22;40;;;;
2023-03-01 03:17:21.136;3324;40.22;40;;;;
2023-03-01 03:17:21.355;3327;40.22;40;;;;
2023-03-01 03:17:21.558;3319;40.22;40;;;;
2023-03-01 03:17:21.776;3325;40.22;40;;;;
2023-03-01 03:17:21.980;3324;40.22;40;;;;
2023-03-01 03:17:22.183;3317;40.22;40;;;;
2023-03-01 03:17:22.401;3338;40.22;40;;;;
2023-03-01 03:17:22.604;3308;40.22;40;;;;
2023-03-01 03:17:22.776;3313;40.22;40;;;;
2023-03-01 03:17:22.980;3316;40.22;40;;;;
2023-03-01 03:17:23.198;3304;40.22;40;;;;
2023-03-01 03:17:23.401;3327;40.22;40;;;;
2023-03-01 03:17:23.604;3311;40.22;40;;;;
2023-03-01 03:17:23.823;3322;40.22;40;;;;
2023-03-01 03:17:24.026;3293;40.22;40;;;;
2023-03-01 03:17:24.229;3300;40.22;40;;;;
2023-03-01 03:17:24.433;3312;40.22;40;;;;
2023-03-01 03:17:24.636;3309;40.22;40;;;;
2023-03-01 03:17:24.839;3296;40.22;40;;;;
2023-03-01 03:17:25.058;3292;40.22;40;;;;
2023-03-01 03:17:25.276;3297;40.22;40;;;;
2023-03-01 03:17:25.479;3305;40.22;40;;;;
2023-03-01 03:17:25.698;3294;40.26;40;;;;
2023-03-01 03:17:25.901;3296;40.26;40;;;;
2023-03-01 03:17:26.104;3300;40.26;40;;;;
2023-03-01 03:17:26.323;3296;40.26;40;;;;
2023-03-01 03:17:26.526;3310;40.26;40;;;;
2023-03-01 03:17:26.729;3302;40.26;40;;;;
2023-03-01 03:17:26.917;3298;40.26;40;;;;
2023-03-01 03:17:27.120;3294;40.26;40;;;;
2023-03-01 03:17:27.323;3337;40.26;40;;;;
2023-03-01 03:17:27.526;3344;40.26;40;;;;
2023-03-01 03:17:27.745;3333;40.26;40;;;;
2023-03-01 03:17:27.948;3317;40.26;40;;;;
2023-03-01 03:17:28.136;3304;40.26;40;;;;
2023-03-01 03:17:28.354;3299;40.26;40;;;;
2023-03-01 03:17:28.557;3307;40.26;40;;;;
2023-03-01 03:17:28.760;3301;40.26;40;;;;
2023-03-01 03:17:28.979;3305;40.26;40;;;;
2023-03-01 03:17:29.198;3302;40.26;40;;;;
2023-03-01 03:17:29.401;3311;40.29;40;;;;
2023-03-01 03:17:29.620;3326;40.29;40;;;;
2023-03-01 03:17:29.823;3324;40.29;40;;;;
2023-03-01 03:17:30.042;3335;40.29;40;;;;
2023-03-01 03:17:30.245;3328;40.29;40;;;;
2023-03-01 03:17:30.448;3311;40.29;40;;;;
2023-03-01 03:17:30.667;3310;40.29;40;;;;
2023-03-01 03:17:30.838;3314;40.29;40;;;;
2023-03-01 03:17:31.042;3328;40.29;40;;;;
2023-03-01 03:17:31.245;3339;40.29;40;;;;
2023-03-01 03:17:31.463;3313;40.29;40;;;;
2023-03-01 03:17:31.667;3342;40.32;40;;;;
2023-03-01 03:17:31.854;3337;40.32;40;;;;
2023-03-01 03:17:32.073;3313;40.32;40;;;;
2023-03-01 03:17:32.276;3328;40.32;40;;;;
2023-03-01 03:17:32.479;3334;40.32;40;;;;
2023-03-01 03:17:32.698;3318;40.32;40;;;;
2023-03-01 03:17:32.901;3332;40.32;40;;;;
2023-03-01 03:17:33.104;3336;40.32;40;;;;
2023-03-01 03:17:33.323;3356;40.32;40;;;;
2023-03-01 03:17:33.541;3353;40.32;40;;;;
2023-03-01 03:17:33.745;3332;40.32;40;;;;
2023-03-01 03:17:33.963;3328;40.32;40;;;;
2023-03-01 03:17:34.166;3324;40.32;40;;;;
2023-03-01 03:17:34.370;3344;40.32;40;;;;
2023-03-01 03:17:34.573;3338;40.35;40;;;;
2023-03-01 03:17:34.760;3336;40.35;40;;;;
2023-03-01 03:17:34.963;3330;40.35;40;;;;
2023-03-01 03:17:35.182;3331;40.35;40;;;;
2023-03-01 03:17:35.385;3322;40.35;40;;;;
2023-03-01 03:17:35.573;3323;40.35;40;;;;
2023-03-01 03:17:35.776;3337;40.35;40;;;;
2023-03-01 03:17:35.994;3335;40.35;40;;;;
2023-03-01 03:17:36.198;3349;40.35;40;;;;
2023-03-01 03:17:36.401;3349;40.35;40;;;;
2023-03-01 03:17:36.619;3356;40.35;40;;;;
