data_ora;rad;temperatura;elevazione;;;;
2023-03-01 02:21:32.038;3642;40.35;35;;;media;dev std
2023-03-01 02:21:32.257;3635;40.35;35;;;3630,666667;19,45674301
2023-03-01 02:21:32.460;3649;40.35;35;;;;
2023-03-01 02:21:32.663;3640;40.35;35;;;;
2023-03-01 02:21:32.882;3651;40.35;35;;;;
2023-03-01 02:21:33.085;3637;40.35;35;;;;
2023-03-01 02:21:33.304;3634;40.35;35;;;;
2023-03-01 02:21:33.491;3647;40.35;35;;;;
2023-03-01 02:21:33.710;3632;40.35;35;;;;
2023-03-01 02:21:33.913;3636;40.35;35;;;;
2023-03-01 02:21:34.132;3650;40.35;35;;;;
2023-03-01 02:21:34.335;3650;40.35;35;;;;
2023-03-01 02:21:34.538;3632;40.35;35;;;;
2023-03-01 02:21:34.757;3632;40.35;35;;;;
2023-03-01 02:21:34.975;3632;40.35;35;;;;
2023-03-01 02:21:35.179;3632;40.35;35;;;;
2023-03-01 02:21:35.397;3641;40.35;35;;;;
2023-03-01 02:21:35.553;3622;40.35;35;;;;
2023-03-01 02:21:35.757;3635;40.35;35;;;;
2023-03-01 02:21:35.975;3642;40.35;35;;;;
2023-03-01 02:21:36.178;3640;40.35;35;;;;
2023-03-01 02:21:36.382;3639;40.38;35;;;;
2023-03-01 02:21:36.585;3612;40.38;35;;;;
2023-03-01 02:21:36.803;3611;40.38;35;;;;
2023-03-01 02:21:37.007;3631;40.38;35;;;;
2023-03-01 02:21:37.210;3643;40.35;35;;;;
2023-03-01 02:21:37.428;3634;40.35;35;;;;
2023-03-01 02:21:37.632;3630;40.35;35;;;;
2023-03-01 02:21:37.835;3633;40.35;35;;;;
2023-03-01 02:21:38.053;3642;40.35;35;;;;
2023-03-01 02:21:38.257;3628;40.35;35;;;;
2023-03-01 02:21:38.460;3638;40.35;35;;;;
2023-03-01 02:21:38.663;3641;40.35;35;;;;
2023-03-01 02:21:38.881;3621;40.35;35;;;;
2023-03-01 02:21:39.116;3632;40.35;35;;;;
2023-03-01 02:21:39.319;3627;40.35;35;;;;
2023-03-01 02:21:39.475;3620;40.35;35;;;;
2023-03-01 02:21:39.678;3619;40.35;35;;;;
2023-03-01 02:21:39.897;3640;40.35;35;;;;
2023-03-01 02:21:40.100;3602;40.35;35;;;;
2023-03-01 02:21:40.303;3623;40.35;35;;;;
2023-03-01 02:21:40.506;3613;40.35;35;;;;
2023-03-01 02:21:40.725;3632;40.35;35;;;;
2023-03-01 02:21:40.928;3615;40.35;35;;;;
2023-03-01 02:21:41.131;3597;40.35;35;;;;
2023-03-01 02:21:41.350;3609;40.35;35;;;;
2023-03-01 02:21:41.553;3630;40.35;35;;;;
2023-03-01 02:21:41.756;3620;40.35;35;;;;
2023-03-01 02:21:41.975;3610;40.35;35;;;;
2023-03-01 02:21:42.178;3606;40.35;35;;;;
2023-03-01 02:21:42.381;3599;40.35;35;;;;
2023-03-01 02:21:42.600;3614;40.35;35;;;;
2023-03-01 02:21:42.803;3606;40.35;35;;;;
2023-03-01 02:21:43.022;3617;40.35;35;;;;
2023-03-01 02:21:43.241;3614;40.35;35;;;;
2023-03-01 02:21:43.397;3621;40.35;35;;;;
2023-03-01 02:21:43.600;3630;40.35;35;;;;
2023-03-01 02:21:43.819;3613;40.35;35;;;;
2023-03-01 02:21:44.022;3623;40.35;35;;;;
2023-03-01 02:21:44.225;3633;40.35;35;;;;
2023-03-01 02:21:44.444;3652;40.35;35;;;;
2023-03-01 02:21:44.647;3624;40.35;35;;;;
2023-03-01 02:21:44.850;3629;40.35;35;;;;
2023-03-01 02:21:45.053;3645;40.35;35;;;;
2023-03-01 02:21:45.272;3627;40.35;35;;;;
2023-03-01 02:21:45.475;3645;40.35;35;;;;
2023-03-01 02:21:45.678;3629;40.32;35;;;;
2023-03-01 02:21:45.897;3633;40.32;35;;;;
2023-03-01 02:21:46.100;3629;40.32;35;;;;
2023-03-01 02:21:46.303;3624;40.32;35;;;;
2023-03-01 02:21:46.522;3654;40.32;35;;;;
