data_ora;rad;temperatura;elevazione;;;
2023-03-01 03:07:56.185;3543;40.35;45;;media;dev std
2023-03-01 03:07:56.388;3529;40.35;45;;3561,169924;37,89055147
2023-03-01 03:07:56.607;3540;40.35;45;;;
2023-03-01 03:07:56.810;3541;40.35;45;;;
2023-03-01 03:07:57.029;3542;40.35;45;;;
2023-03-01 03:07:57.232;3532;40.35;45;;;
2023-03-01 03:07:57.435;3548;40.35;45;;;
2023-03-01 03:07:57.654;3548;40.35;45;;;
2023-03-01 03:07:57.857;3534;40.35;45;;;
2023-03-01 03:07:58.060;3550;40.35;45;;;
2023-03-01 03:07:58.248;3543;40.35;45;;;
2023-03-01 03:07:58.451;3537;40.35;45;;;
2023-03-01 03:07:58.654;3562;40.35;45;;;
2023-03-01 03:07:58.873;3569;40.35;45;;;
2023-03-01 03:07:59.076;3549;40.35;45;;;
2023-03-01 03:07:59.279;3543;40.35;45;;;
2023-03-01 03:07:59.482;3548;40.35;45;;;
2023-03-01 03:07:59.685;3555;40.35;45;;;
2023-03-01 03:07:59.888;3565;40.35;45;;;
2023-03-01 03:08:00.107;3566;40.35;45;;;
2023-03-01 03:08:00.310;3541;40.35;45;;;
2023-03-01 03:08:00.529;3546;40.35;45;;;
2023-03-01 03:08:00.732;3546;40.35;45;;;
2023-03-01 03:08:00.951;3548;40.35;45;;;
2023-03-01 03:08:01.154;3530;40.35;45;;;
2023-03-01 03:08:01.357;3538;40.35;45;;;
2023-03-01 03:08:01.576;3510;40.35;45;;;
2023-03-01 03:08:01.779;3535;40.35;45;;;
2023-03-01 03:08:01.982;3521;40.35;45;;;
2023-03-01 03:08:02.169;3528;40.35;45;;;
2023-03-01 03:08:02.373;3530;40.35;45;;;
2023-03-01 03:08:02.576;3538;40.35;45;;;
2023-03-01 03:08:02.810;3546;40.35;45;;;
2023-03-01 03:08:02.997;3544;40.35;45;;;
2023-03-01 03:08:03.201;3545;40.35;45;;;
2023-03-01 03:08:03.404;3531;40.35;45;;;
2023-03-01 03:08:03.607;3554;40.35;45;;;
