data_ora,rad,temperatura,elevazione
2023-03-01 02:28:32.101,3251,40.26,40
2023-03-01 02:28:32.319,3248,40.26,40
2023-03-01 02:28:32.522,3265,40.26,40
2023-03-01 02:28:32.726,3249,40.26,40
2023-03-01 02:28:32.944,3252,40.26,40
2023-03-01 02:28:33.147,3247,40.26,40
2023-03-01 02:28:33.366,3251,40.26,40
2023-03-01 02:28:33.585,3274,40.26,40
2023-03-01 02:28:33.788,3267,40.26,40
2023-03-01 02:28:34.007,3266,40.26,40
2023-03-01 02:28:34.210,3246,40.26,40
2023-03-01 02:28:34.382,3264,40.26,40
2023-03-01 02:28:34.585,3272,40.26,40
2023-03-01 02:28:34.788,3265,40.26,40
2023-03-01 02:28:35.007,3253,40.26,40
2023-03-01 02:28:35.194,3268,40.26,40
2023-03-01 02:28:35.397,3268,40.26,40
2023-03-01 02:28:35.616,3274,40.26,40
2023-03-01 02:28:35.819,3269,40.26,40
2023-03-01 02:28:36.022,3270,40.26,40
2023-03-01 02:28:36.241,3275,40.26,40
2023-03-01 02:28:36.444,3267,40.22,40
2023-03-01 02:28:36.647,3279,40.22,40
2023-03-01 02:28:36.866,3278,40.22,40
2023-03-01 02:28:37.069,3303,40.22,40
2023-03-01 02:28:37.288,3266,40.22,40
2023-03-01 02:28:37.507,3286,40.22,40
2023-03-01 02:28:37.710,3286,40.22,40
2023-03-01 02:28:37.913,3286,40.26,40
2023-03-01 02:28:38.132,3299,40.22,40
2023-03-01 02:28:38.303,3277,40.22,40
2023-03-01 02:28:38.522,3283,40.22,40
2023-03-01 02:28:38.710,3283,40.22,40
2023-03-01 02:28:38.913,3286,40.22,40
2023-03-01 02:28:39.116,3283,40.22,40
2023-03-01 02:28:39.335,3281,40.22,40
2023-03-01 02:28:39.538,3279,40.22,40
2023-03-01 02:28:39.741,3282,40.22,40
2023-03-01 02:28:39.960,3275,40.22,40
2023-03-01 02:28:40.163,3280,40.22,40
2023-03-01 02:28:40.366,3267,40.22,40
2023-03-01 02:28:40.585,3282,40.22,40
2023-03-01 02:28:40.788,3290,40.22,40
2023-03-01 02:28:40.991,3284,40.22,40
2023-03-01 02:28:41.210,3290,40.22,40
2023-03-01 02:28:41.413,3285,40.22,40
2023-03-01 02:28:41.631,3291,40.22,40
2023-03-01 02:28:41.835,3282,40.22,40
2023-03-01 02:28:42.053,3290,40.22,40
2023-03-01 02:28:42.225,3281,40.22,40
2023-03-01 02:28:42.428,3284,40.22,40
2023-03-01 02:28:42.631,3300,40.22,40
2023-03-01 02:28:42.834,3283,40.22,40
2023-03-01 02:28:43.038,3284,40.22,40
2023-03-01 02:28:43.256,3275,40.22,40
2023-03-01 02:28:43.459,3268,40.22,40
2023-03-01 02:28:43.678,3284,40.22,40
2023-03-01 02:28:43.881,3277,40.22,40
2023-03-01 02:28:44.084,3288,40.22,40
2023-03-01 02:28:44.303,3275,40.22,40
2023-03-01 02:28:44.506,3271,40.22,40
2023-03-01 02:28:44.709,3285,40.22,40
2023-03-01 02:28:44.912,3273,40.22,40
2023-03-01 02:28:45.116,3296,40.22,40
2023-03-01 02:28:45.334,3288,40.22,40
2023-03-01 02:28:45.553,3295,40.22,40
2023-03-01 02:28:45.772,3285,40.22,40
2023-03-01 02:28:45.975,3279,40.26,40
2023-03-01 02:28:46.147,3285,40.22,40
2023-03-01 02:28:46.350,3288,40.26,40
2023-03-01 02:28:46.553,3303,40.26,40
2023-03-01 02:28:46.756,3289,40.26,40
2023-03-01 02:28:46.959,3289,40.26,40
2023-03-01 02:28:47.178,3274,40.26,40
2023-03-01 02:28:47.381,3277,40.26,40
2023-03-01 02:28:47.584,3281,40.26,40
2023-03-01 02:28:47.803,3306,40.26,40
2023-03-01 02:28:48.006,3291,40.26,40
2023-03-01 02:28:48.209,3303,40.26,40
2023-03-01 02:28:48.428,3284,40.26,40
2023-03-01 02:28:48.631,3299,40.26,40
2023-03-01 02:28:48.834,3297,40.26,40
2023-03-01 02:28:49.053,3299,40.26,40
2023-03-01 02:28:49.256,3300,40.26,40
2023-03-01 02:28:49.475,3295,40.26,40
2023-03-01 02:28:49.678,3305,40.26,40
2023-03-01 02:28:49.897,3311,40.26,40
2023-03-01 02:28:50.068,3297,40.26,40
2023-03-01 02:28:50.256,3311,40.26,40
2023-03-01 02:28:50.475,3307,40.26,40
2023-03-01 02:28:50.678,3310,40.26,40
2023-03-01 02:28:50.896,3298,40.26,40
2023-03-01 02:28:51.100,3286,40.26,40
2023-03-01 02:28:51.303,3303,40.26,40
2023-03-01 02:28:51.521,3305,40.26,40
2023-03-01 02:28:51.725,3301,40.26,40
2023-03-01 02:28:51.928,3300,40.26,40
2023-03-01 02:28:52.131,3303,40.26,40
2023-03-01 02:28:52.349,3302,40.29,40
2023-03-01 02:28:52.553,3315,40.29,40
2023-03-01 02:28:52.756,3307,40.29,40
2023-03-01 02:28:52.974,3288,40.29,40
2023-03-01 02:28:53.178,3290,40.29,40
2023-03-01 02:28:53.381,3305,40.29,40
2023-03-01 02:28:53.599,3289,40.29,40
2023-03-01 02:28:53.818,3297,40.29,40
2023-03-01 02:28:53.990,3308,40.29,40
2023-03-01 02:28:54.193,3298,40.29,40
2023-03-01 02:28:54.396,3306,40.29,40
2023-03-01 02:28:54.599,3318,40.29,40
2023-03-01 02:28:54.818,3298,40.29,40
2023-03-01 02:28:55.021,3292,40.29,40
2023-03-01 02:28:55.224,3299,40.29,40
2023-03-01 02:28:55.443,3276,40.29,40
2023-03-01 02:28:55.646,3303,40.29,40
2023-03-01 02:28:55.849,3277,40.29,40
2023-03-01 02:28:56.068,3293,40.29,40
2023-03-01 02:28:56.271,3267,40.29,40
2023-03-01 02:28:56.474,3282,40.29,40
2023-03-01 02:28:56.677,3274,40.29,40
2023-03-01 02:28:56.896,3269,40.29,40
2023-03-01 02:28:57.099,3276,40.32,40
2023-03-01 02:28:57.302,3286,40.32,40
2023-03-01 02:28:57.521,3292,40.32,40
2023-03-01 02:28:57.740,3285,40.32,40
2023-03-01 02:28:57.896,3260,40.32,40
2023-03-01 02:28:58.115,3290,40.32,40
2023-03-01 02:28:58.318,3301,40.32,40
2023-03-01 02:28:58.521,3302,40.32,40
2023-03-01 02:28:58.740,3302,40.32,40
