rad;T;elevaz;;;
2893;40.35;40;;;
2893;40.35;40;;;
2900;40.35;40;;;
2908;40.35;40;;;
2896;40.35;40;;;
2902;40.35;40;;;
2889;40.35;40;;;
2919;40.35;40;;;
2918;40.35;40;;;
2931;40.35;40;;;
2919;40.35;40;;;
2925;40.35;40;;;
2936;40.35;40;;;
2909;40.35;40;;;
2922;40.35;40;;;
2927;40.35;40;;;
2938;40.35;40;;;
2914;40.35;40;;;
2938;40.35;40;;;
2951;40.35;40;;;
2948;40.35;40;;;
2956;40.35;40;;;
2976;40.35;40;;;
2994;40.35;40;;;
2990;40.35;40;;;
3008;40.35;40;;;
3040;40.35;40;;;
3050;40.35;40;;;
3047;40.35;40;;;
3061;40.35;40;;;
3053;40.32;40;;;
3046;40.32;40;;;
3034;40.32;40;;;
3012;40.32;40;;;
3008;40.32;40;;;
2993;40.32;40;;;
3016;40.32;40;;;
3000;40.32;40;;;
2977;40.32;40;;;
2994;40.32;40;;;
2985;40.32;40;;;
2960;40.32;40;;;
2966;40.32;40;;;
2954;40.32;40;;;
2953;40.32;40;;;
2958;40.32;40;;;
2947;40.32;40;;;
2968;40.32;40;;;
2964;40.32;40;;;
2978;40.32;40;;;
2983;40.32;40;;;
2991;40.32;40;;;
2998;40.32;40;;;
2978;40.32;40;;;
2991;40.32;40;;;
3007;40.32;40;;;
3007;40.29;40;;;
3025;40.29;40;;;
3036;40.29;40;;;
3051;40.29;40;;;
3048;40.29;40;;;
3015;40.29;40;;;
3004;40.29;40;;;
3001;40.29;40;;;
2983;40.29;40;;;
2982;40.29;40;;;
2949;40.29;40;;;
2952;40.29;40;;;
2954;40.29;40;;;
2952;40.29;40;;;
2961;40.29;40;;;
2975;40.26;40;;;
2966;40.26;40;;;
2983;40.26;40;;;
3022;40.26;40;;;
3027;40.26;40;;;
3019;40.26;40;;;
3032;40.26;40;;;
3050;40.26;40;;;
3037;40.26;40;;;
3048;40.26;40;;;
3050;40.26;40;;;
3048;40.26;40;;;
3056;40.26;40;;;
3046;40.26;40;;;
3035;40.26;40;;;
3026;40.26;40;;;
3029;40.26;40;;;
3011;40.26;40;;;
3020;40.26;40;;;
3016;40.26;40;;;
3006;40.26;40;;;
3018;40.26;40;;;
3040;40.26;40;;;
3015;40.26;40;;;
3027;40.26;40;;;
3009;40.26;40;;;
3006;40.22;40;;;
3033;40.22;40;;;
2998;40.26;40;;;
2997;40.22;40;;;
2998;40.22;40;;;
3003;40.22;40;;;
3001;40.22;40;;;
3013;40.22;40;;;
3008;40.22;40;;;
3004;40.22;40;;;
3020;40.22;40;;;
3017;40.22;40;;;
3016;40.22;40;;;
3038;40.22;40;;;
3029;40.22;40;;;
3040;40.22;40;;;
3043;40.22;40;;;
3028;40.22;40;;;
3034;40.22;40;;;
3020;40.22;40;;;
3023;40.22;40;;;
3012;40.22;40;;;
3031;40.22;40;;;
3004;40.22;40;;;
3013;40.22;40;;;
2989;40.22;40;;;
3005;40.22;40;;;
2975;40.22;40;;;
2977;40.22;40;;;
2987;40.22;40;;;
3001;40.22;40;;;
3000;40.22;40;;;
3014;40.22;40;;;
2996;40.22;40;;;
3003;40.22;40;;;
3002;40.22;40;;;
2987;40.26;40;;;
3001;40.26;40;;;
3013;40.26;40;;;
3013;40.26;40;;;
3009;40.26;40;;;
2996;40.26;40;;;
3000;40.26;40;;;
2994;40.26;40;;;
3004;40.26;40;;;
3005;40.26;40;;;
3006;40.26;40;;;
3019;40.26;40;;;
3030;40.26;40;;;
2996;40.26;40;;;
3003;40.26;40;;;
2990;40.26;40;;;
2981;40.26;40;;;
2970;40.26;40;;;
2983;40.26;40;;;
2972;40.26;40;;;
2977;40.26;40;;;
2954;40.26;40;;;
2978;40.26;40;;;
2980;40.26;40;;;
2987;40.26;40;;;
3004;40.26;40;;;
3001;40.26;40;;;
3003;40.26;40;;;
3020;40.26;40;;;
3014;40.26;40;;;
3040;40.26;40;;;
3063;40.26;40;;;
3040;40.26;40;;;
3044;40.26;40;;;
3084;40.29;40;;;
3061;40.29;40;;;
3065;40.29;40;;;
3056;40.29;40;;;
