data;ora;rad;T;elevazione;;;media;dev std;
19/01/2023;02:30:22.616;3593;40.29;20;;;;;
19/01/2023;02:30:22.823;3585;40.29;20;;;;;
19/01/2023;02:30:23.000;3598;40.29;20;;;;;
19/01/2023;02:30:23.209;3610;40.29;20;;;;;
19/01/2023;02:30:23.417;3623;40.29;20;;;;;
19/01/2023;02:30:23.624;3611;40.29;20;;;;;
19/01/2023;02:30:23.832;3608;40.29;20;;;;;
19/01/2023;02:30:24.041;3593;40.29;20;;;;;
19/01/2023;02:30:24.248;3595;40.29;20;;;;;
19/01/2023;02:30:24.447;3583;40.29;20;;;;;
19/01/2023;02:30:24.648;3580;40.29;20;;;;;
19/01/2023;02:30:24.856;3576;40.29;20;;;;;
19/01/2023;02:30:25.064;3594;40.29;20;;;;;
19/01/2023;02:30:25.273;3573;40.29;20;;;;;
19/01/2023;02:30:25.489;3575;40.32;20;;;;;
19/01/2023;02:30:25.706;3591;40.32;20;;;;;
19/01/2023;02:30:25.913;3572;40.32;20;;;;;
19/01/2023;02:30:26.122;3572;40.32;20;;;;;
19/01/2023;02:30:26.331;3578;40.32;20;;;;;
19/01/2023;02:30:26.537;3569;40.32;20;;;;;
19/01/2023;02:30:26.746;3563;40.32;20;;;;;
19/01/2023;02:30:26.954;3567;40.32;20;;;;;
19/01/2023;02:30:27.129;3555;40.32;20;;;;;
19/01/2023;02:30:27.339;3550;40.32;20;;;;;
19/01/2023;02:30:27.547;3552;40.32;20;;;;;
19/01/2023;02:30:27.754;3548;40.32;20;;;;;
19/01/2023;02:30:27.962;3543;40.32;20;;;;;
19/01/2023;02:30:28.168;3530;40.32;20;;;;;
19/01/2023;02:30:28.367;3517;40.32;20;;;;;
19/01/2023;02:30:28.571;3522;40.32;20;;;;;
19/01/2023;02:30:28.779;3511;40.32;20;;;;;
19/01/2023;02:30:28.986;3519;40.32;20;;;;;
19/01/2023;02:30:29.195;3517;40.32;20;;;;;
19/01/2023;02:30:29.402;3551;40.32;20;;;;;
19/01/2023;02:30:29.617;3538;40.32;20;;;;;
19/01/2023;02:30:29.834;3538;40.32;20;;;;;
19/01/2023;02:30:30.044;3540;40.32;20;;;;;
19/01/2023;02:30:30.252;3527;40.32;20;;;;;
19/01/2023;02:30:30.460;3527;40.32;20;;;;;
19/01/2023;02:30:30.668;3531;40.35;20;;;;;
19/01/2023;02:30:30.875;3551;40.32;20;;;;;
19/01/2023;02:30:31.084;3522;40.32;20;;;;;
19/01/2023;02:30:31.260;3547;40.32;20;;;;;
19/01/2023;02:30:31.468;3542;40.35;20;;;;;
19/01/2023;02:30:31.676;3565;40.35;20;;;;;
19/01/2023;02:30:31.884;3555;40.35;20;;;;;
19/01/2023;02:30:32.089;3533;40.35;20;;;;;
19/01/2023;02:30:32.285;3554;40.35;20;;;;;
19/01/2023;02:30:32.493;3548;40.35;20;;;;;
19/01/2023;02:30:32.700;3581;40.35;20;;;;;
19/01/2023;02:30:32.909;3571;40.35;20;;;;;
19/01/2023;02:30:33.116;3556;40.35;20;;;;;
19/01/2023;02:30:33.324;3572;40.35;20;;;;;
19/01/2023;02:30:33.534;3567;40.35;20;;;;;
19/01/2023;02:30:33.741;3566;40.35;20;;;;;
19/01/2023;02:30:33.957;3566;40.35;20;;;;;
19/01/2023;02:30:34.172;3571;40.35;20;;;;;
19/01/2023;02:30:34.383;3549;40.35;20;;;;;
19/01/2023;02:30:34.591;3569;40.35;20;;;;;
19/01/2023;02:30:34.799;3565;40.35;20;;;;;
19/01/2023;02:30:35.007;3584;40.35;20;;;;;
19/01/2023;02:30:35.215;3563;40.35;20;;;;;
19/01/2023;02:30:35.390;3567;40.35;20;;;;;
19/01/2023;02:30:35.598;3575;40.35;20;;;;;
19/01/2023;02:30:35.802;3584;40.38;20;;;;;
19/01/2023;02:30:36.006;3581;40.38;20;;;;;
19/01/2023;02:30:36.206;3607;40.38;20;;;;;
19/01/2023;02:30:36.415;3570;40.35;20;;;;;
19/01/2023;02:30:36.624;3569;40.38;20;;;;;
19/01/2023;02:30:36.832;3573;40.38;20;;;;;
19/01/2023;02:30:37.040;3586;40.38;20;;;;;
19/01/2023;02:30:37.248;3590;40.38;20;;;;;
19/01/2023;02:30:37.457;3562;40.38;20;;;;;
19/01/2023;02:30:37.664;3573;40.38;20;;;;;
19/01/2023;02:30:37.873;3579;40.38;20;;;;;
19/01/2023;02:30:38.081;3570;40.38;20;;;;;
19/01/2023;02:30:38.300;3597;40.38;20;;;;;
19/01/2023;02:30:38.514;3587;40.38;20;;;;;
19/01/2023;02:30:38.722;3577;40.38;20;;;;;
19/01/2023;02:30:38.929;3578;40.38;20;;;;;
19/01/2023;02:30:39.137;3597;40.38;20;;;;;
19/01/2023;02:30:39.313;3610;40.38;20;;;;;
19/01/2023;02:30:39.521;3604;40.38;20;;;;;
19/01/2023;02:30:39.729;3607;40.38;20;;;;;
19/01/2023;02:30:39.928;3613;40.38;20;;;;;
19/01/2023;02:30:40.129;3602;40.38;20;;;;;
19/01/2023;02:30:40.339;3615;40.38;20;;;;;
19/01/2023;02:30:40.546;3618;40.38;20;;;;;
19/01/2023;02:30:40.754;3629;40.38;20;;;;;
19/01/2023;02:30:40.961;3619;40.38;20;;;;;
19/01/2023;02:30:41.169;3627;40.38;20;;;;;
19/01/2023;02:30:41.377;3629;40.38;20;;;;;
19/01/2023;02:30:41.586;3618;40.38;20;;;;;
19/01/2023;02:30:41.794;3628;40.38;20;;;;;
19/01/2023;02:30:42.001;3609;40.38;20;;;;;
19/01/2023;02:30:42.210;3604;40.38;20;;;;;
19/01/2023;02:30:42.426;3607;40.38;20;;;;;
19/01/2023;02:30:42.643;3640;40.38;20;;;;;
19/01/2023;02:30:42.851;3631;40.38;20;;;;;
19/01/2023;02:30:43.059;3637;40.38;20;;;;;
19/01/2023;02:30:43.267;3617;40.38;20;;;;;
19/01/2023;02:30:43.443;3617;40.38;20;;;;;
19/01/2023;02:30:43.648;3602;40.38;20;;;;;
19/01/2023;02:30:43.848;3621;40.38;20;;;;;
19/01/2023;02:30:44.052;3616;40.38;20;;;;;
19/01/2023;02:30:44.259;3595;40.38;20;;;;;
19/01/2023;02:30:44.467;3600;40.38;20;;;;;
19/01/2023;02:30:44.676;3604;40.38;20;;;;;
19/01/2023;02:30:44.884;3598;40.38;20;;;;;
19/01/2023;02:30:45.091;3606;40.38;20;;;;;
19/01/2023;02:30:45.298;3614;40.38;20;;;;;
19/01/2023;02:30:45.509;3623;40.38;20;;;;;
19/01/2023;02:30:45.717;3627;40.38;20;;;;;
