               data_ora        rad  temperatura elevazione
2023-03-27 01:44:17.169 -29.169050        40.38         50
2023-03-27 01:44:17.385 -28.714953        40.35         50
2023-03-27 01:44:17.593 -28.344948        40.35         50
2023-03-27 01:44:17.801 -28.210401        40.35         50
2023-03-27 01:44:18.009 -28.916774        40.35         50
2023-03-27 01:44:18.218 -29.236323        40.35         50
2023-03-27 01:44:18.426 -29.791331        40.35         50
2023-03-27 01:44:18.634 -29.824968        40.35         50
2023-03-27 01:44:18.847 -30.043607        40.35         50
2023-03-27 01:44:19.017 -29.959515        40.35         50
2023-03-27 01:44:19.226 -30.178154        40.35         50
2023-03-27 01:44:19.434 -30.649070        40.35         50
2023-03-27 01:44:19.643 -30.396794        40.35         50
2023-03-27 01:44:19.852 -30.026789        40.35         50
2023-03-27 01:44:20.060 -30.632251        40.35         50
2023-03-27 01:44:20.268 -30.077244        40.35         50
2023-03-27 01:44:20.469 -29.892241        40.35         50
2023-03-27 01:44:20.668 -29.606328        40.35         50
2023-03-27 01:44:20.876 -29.454963        40.35         50
2023-03-27 01:44:21.092 -29.404508        40.35         50
2023-03-27 01:44:21.307 -28.849500        40.35         50
2023-03-27 01:44:21.516 -28.395403        40.35         50
2023-03-27 01:44:21.725 -28.294493        40.35         50
2023-03-27 01:44:21.931 -28.445858        40.35         50
2023-03-27 01:44:22.140 -29.135413        40.35         50
2023-03-27 01:44:22.349 -29.572692        40.35         50
2023-03-27 01:44:22.558 -29.555873        40.35         50
2023-03-27 01:44:22.772 -29.135413        40.35         50
2023-03-27 01:44:22.942 -29.942697        40.35         50
2023-03-27 01:44:23.150 -29.791331        40.35         50
2023-03-27 01:44:23.358 -29.707239        40.35         50
2023-03-27 01:44:23.565 -29.337234        40.35         50
2023-03-27 01:44:23.775 -29.219505        40.35         50
2023-03-27 01:44:23.983 -29.185868        40.35         50
2023-03-27 01:44:24.192 -28.866319        40.35         50
2023-03-27 01:44:24.389 -28.328130        40.35         50
2023-03-27 01:44:24.590 -27.907669        40.35         50
2023-03-27 01:44:24.799 -28.378585        40.35         50
2023-03-27 01:44:25.014 -28.143127        40.35         50
2023-03-27 01:44:25.231 -28.361766        40.35         50
2023-03-27 01:44:25.437 -28.529950        40.35         50
2023-03-27 01:44:25.647 -28.849500        40.35         50
2023-03-27 01:44:25.857 -28.782226        40.35         50
2023-03-27 01:44:26.063 -28.496314        40.35         50
2023-03-27 01:44:26.272 -28.647679        40.35         50
2023-03-27 01:44:26.480 -28.277674        40.35         50
2023-03-27 01:44:26.689 -27.588120        40.35         50
2023-03-27 01:44:26.864 -27.520846        40.35         50
2023-03-27 01:44:27.073 -27.890851        40.35         50
2023-03-27 01:44:27.281 -28.244037        40.35         50
2023-03-27 01:44:27.489 -28.260856        40.35         50
2023-03-27 01:44:27.696 -29.236323        40.35         50
2023-03-27 01:44:27.905 -29.673602        40.35         50
2023-03-27 01:44:28.110 -30.094062        40.35         50
2023-03-27 01:44:28.309 -29.875423        40.35         50
2023-03-27 01:44:28.515 -30.043607        40.35         50
2023-03-27 01:44:28.723 -29.942697        40.35         50
2023-03-27 01:44:28.936 -29.623147        40.35         50
2023-03-27 01:44:29.155 -29.925878        40.35         50
2023-03-27 01:44:29.363 -29.101776        40.35         50
2023-03-27 01:44:29.572 -28.933592        40.35         50
2023-03-27 01:44:29.779 -28.714953        40.35         50
2023-03-27 01:44:29.988 -28.647679        40.35         50
2023-03-27 01:44:30.195 -29.068139        40.35         50
2023-03-27 01:44:30.404 -29.084958        40.35         50
2023-03-27 01:44:30.622 -28.597224        40.35         50
2023-03-27 01:44:30.788 -29.068139        40.35         50
2023-03-27 01:44:30.995 -29.572692        40.35         50
2023-03-27 01:44:31.204 -29.606328        40.35         50
2023-03-27 01:44:31.412 -29.875423        40.35         50
2023-03-27 01:44:31.621 -29.169050        40.35         50
2023-03-27 01:44:31.828 -28.765408        40.35         50
2023-03-27 01:44:32.030 -28.765408        40.35         50
