           data_ora  elevazione  azimuth
2023-03-16 23:50:02        20.0    305.0
2023-03-16 23:50:05        20.0    305.0
2023-03-16 23:50:08        20.0    305.0
2023-03-16 23:50:11        20.0    305.0
2023-03-16 23:50:14        20.0    305.0
2023-03-16 23:50:17        20.0    305.0
2023-03-16 23:50:20        20.0    305.0
2023-03-16 23:50:23        20.0    305.0
2023-03-16 23:50:26        20.0    305.0
2023-03-16 23:50:29        20.0    305.0
2023-03-16 23:50:32        20.0    305.0
2023-03-16 23:50:35        20.0    305.0
2023-03-16 23:50:38        20.0    305.0
2023-03-16 23:50:41        20.0    305.0
2023-03-16 23:50:44        20.0    305.0
2023-03-16 23:50:47        20.0    305.0
2023-03-16 23:50:50        20.0    305.0
2023-03-16 23:50:53        20.0    305.0
2023-03-16 23:50:56        20.0    305.0
2023-03-16 23:50:59        20.0    305.0
2023-03-16 23:51:02        20.0    305.0
2023-03-16 23:51:05        20.0    305.0
2023-03-16 23:51:08        20.0    305.0
2023-03-16 23:51:11        20.0    305.0
2023-03-16 23:51:14        20.0    305.0
2023-03-16 23:51:17        20.0    305.0
2023-03-16 23:51:20        20.0    305.0
2023-03-16 23:51:23        20.0    305.0
2023-03-16 23:51:26        20.0    305.0
2023-03-16 23:51:29        20.0    305.0
2023-03-16 23:51:32        20.0    305.0
2023-03-16 23:51:35        20.0    305.0
2023-03-16 23:51:38        20.0    305.0
2023-03-16 23:51:41        20.0    305.0
2023-03-16 23:51:44        20.0    305.0
2023-03-16 23:51:47        20.0    305.0
2023-03-16 23:51:50        20.0    305.0
2023-03-16 23:51:53        20.0    305.0
2023-03-16 23:51:56        20.0    305.0
2023-03-16 23:51:59        20.0    305.0
2023-03-16 23:52:02        20.0    305.0
2023-03-16 23:52:05        20.0    305.0
2023-03-16 23:52:08        20.0    305.0
2023-03-16 23:52:11        20.0    305.0
2023-03-16 23:52:14        20.0    305.0
2023-03-16 23:52:17        20.0    305.0
2023-03-16 23:52:20        20.0    305.0
2023-03-16 23:52:23        20.0    305.0
2023-03-16 23:52:26        20.0    305.0
2023-03-16 23:52:29        20.0    305.0
2023-03-16 23:52:32        20.0    305.0
2023-03-16 23:52:35        20.0    305.0
2023-03-16 23:52:38        20.0    305.0
2023-03-16 23:52:41        20.0    305.0
2023-03-16 23:52:44        20.0    305.0
2023-03-16 23:52:47        20.0    305.0
2023-03-16 23:52:50        20.0    305.0
2023-03-16 23:52:53        20.0    305.0
2023-03-16 23:52:56        20.0    305.0
2023-03-16 23:52:59        20.0    305.0
2023-03-16 23:53:02        20.0    305.0
2023-03-16 23:53:05        20.0    305.0
2023-03-16 23:53:08        20.0    305.0
2023-03-16 23:53:11        20.0    305.0
2023-03-16 23:53:14        20.0    305.0
2023-03-16 23:53:17        20.0    305.0
2023-03-16 23:53:20        20.0    305.0
2023-03-16 23:53:23        20.0    305.0
2023-03-16 23:53:26        20.0    305.0
2023-03-16 23:53:29        20.0    305.0
2023-03-16 23:53:32        20.0    305.0
2023-03-16 23:53:35        20.0    305.0
2023-03-16 23:53:38        20.0    305.0
2023-03-16 23:53:41        20.0    305.0
2023-03-16 23:53:44        20.0    305.0
2023-03-16 23:53:47        20.0    305.0
2023-03-16 23:53:50        20.0    305.0
2023-03-16 23:53:53        20.0    305.0
2023-03-16 23:53:56        20.0    305.0
2023-03-16 23:53:59        20.0    305.0
2023-03-16 23:54:02        20.0    305.0
2023-03-16 23:54:05        20.0    305.0
2023-03-16 23:54:08        20.0    305.0
2023-03-16 23:54:11        20.0    305.0
2023-03-16 23:54:14        20.0    305.0
2023-03-16 23:54:17        20.0    305.0
2023-03-16 23:54:20        20.0    305.0
2023-03-16 23:54:23        20.0    305.0
2023-03-16 23:54:26        20.0    305.0
2023-03-16 23:54:29        20.0    305.0
2023-03-16 23:54:32        20.0    305.0
2023-03-16 23:54:35        20.0    305.0
2023-03-16 23:54:38        20.0    305.0
2023-03-16 23:54:41        20.0    305.0
2023-03-16 23:54:44        20.0    305.0
2023-03-16 23:54:47        20.0    305.0
2023-03-16 23:54:50        20.0    305.0
2023-03-16 23:54:53        20.0    305.0
2023-03-16 23:54:56        20.0    305.0
2023-03-16 23:54:59        20.0    305.0
2023-03-16 23:55:02        20.0    305.0
2023-03-16 23:55:05        20.0    305.0
2023-03-16 23:55:08        20.0    305.0
2023-03-16 23:55:11        20.0    305.0
2023-03-16 23:55:14        20.0    305.0
2023-03-16 23:55:17        20.0    305.0
2023-03-16 23:55:20        20.0    305.0
2023-03-16 23:55:23        20.0    305.0
2023-03-16 23:55:26        20.0    305.0
2023-03-16 23:55:29        20.0    305.0
2023-03-16 23:55:32        20.0    305.0
2023-03-16 23:55:35        20.0    305.0
2023-03-16 23:55:38        20.0    305.0
2023-03-16 23:55:41        20.0    305.0
2023-03-16 23:55:44        20.0    305.0
2023-03-16 23:55:47        20.0    305.0
2023-03-16 23:55:50        20.0    305.0
2023-03-16 23:55:53        20.0    305.0
2023-03-16 23:55:56        20.0    305.0
2023-03-16 23:55:59        20.0    305.0
