               data_ora        rad  temperatura elevazione
2023-04-07 23:21:14.197 -17.148134        40.32         20
2023-04-07 23:21:14.405 -16.609913        40.32         20
2023-04-07 23:21:14.613 -16.643552        40.32         20
2023-04-07 23:21:14.822 -16.761288        40.32         20
2023-04-07 23:21:15.030 -16.593094        40.32         20
2023-04-07 23:21:15.233 -16.374442        40.32         20
2023-04-07 23:21:15.434 -16.374442        40.32         20
2023-04-07 23:21:15.636 -16.105332        40.32         20
2023-04-07 23:21:15.854 -16.071693        40.32         20
2023-04-07 23:21:16.071 -15.970777        40.32         20
2023-04-07 23:21:16.278 -16.290345        40.32         20
2023-04-07 23:21:16.487 -16.021235        40.32         20
2023-04-07 23:21:16.695 -15.953957        40.32         20
2023-04-07 23:21:16.903 -16.307165        40.32         20
2023-04-07 23:21:17.112 -16.239887        40.32         20
2023-04-07 23:21:17.320 -16.239887        40.32         20
2023-04-07 23:21:17.528 -16.475358        40.32         20
2023-04-07 23:21:17.703 -16.727649        40.32         20
2023-04-07 23:21:17.911 -16.845385        40.32         20
2023-04-07 23:21:18.120 -17.131314        40.32         20
2023-04-07 23:21:18.328 -17.703174        40.32         20
2023-04-07 23:21:18.537 -17.888187        40.32         20
2023-04-07 23:21:18.744 -18.224575        40.32         20
2023-04-07 23:21:18.953 -18.661879        40.32         20
2023-04-07 23:21:19.155 -18.880531        40.32         20
2023-04-07 23:21:19.354 -19.149641        40.32         20
2023-04-07 23:21:19.562 -19.452390        40.32         20
2023-04-07 23:21:19.778 -19.923333        40.32         20
2023-04-07 23:21:19.993 -20.007430        40.32         20
2023-04-07 23:21:20.202 -19.973791        40.32         20
2023-04-07 23:21:20.410 -19.889694        40.32         20
2023-04-07 23:21:20.619 -20.041068        40.32         20
2023-04-07 23:21:20.827 -19.788778        40.32         20
2023-04-07 23:21:21.034 -19.519667        40.32         20
2023-04-07 23:21:21.242 -19.267377        40.32         20
2023-04-07 23:21:21.452 -19.183280        40.32         20
2023-04-07 23:21:21.627 -18.897350        40.32         20
2023-04-07 23:21:21.836 -18.426407        40.32         20
2023-04-07 23:21:22.044 -17.787271        40.32         20
2023-04-07 23:21:22.252 -17.114495        40.32         20
2023-04-07 23:21:22.460 -16.677191        40.32         20
2023-04-07 23:21:22.668 -16.189429        40.32         20
2023-04-07 23:21:22.876 -15.886680        40.32         20
2023-04-07 23:21:23.077 -15.516653        40.32         20
2023-04-07 23:21:23.277 -15.668028        40.32         20
2023-04-07 23:21:23.485 -15.298001        40.32         20
2023-04-07 23:21:23.703 -15.449376        40.32         20
2023-04-07 23:21:23.918 -14.961614        40.32         20
2023-04-07 23:21:24.142 -15.045711        40.32         20
2023-04-07 23:21:24.350 -15.298001        40.32         20
2023-04-07 23:21:24.558 -15.533473        40.32         20
2023-04-07 23:21:24.750 -15.398918        40.32         20
2023-04-07 23:21:24.958 -15.701667        40.32         20
2023-04-07 23:21:25.166 -16.071693        40.32         20
2023-04-07 23:21:25.373 -15.953957        40.32         20
2023-04-07 23:21:25.549 -16.424900        40.32         20
2023-04-07 23:21:25.759 -16.508997        40.32         20
2023-04-07 23:21:25.966 -16.727649        40.32         20
2023-04-07 23:21:26.175 -17.047218        40.32         20
2023-04-07 23:21:26.381 -17.131314        40.32         20
2023-04-07 23:21:26.591 -17.164953        40.32         20
2023-04-07 23:21:26.797 -17.366786        40.32         20
2023-04-07 23:21:26.996 -17.249050        40.32         20
2023-04-07 23:21:27.199 -17.585438        40.32         20
2023-04-07 23:21:27.409 -17.484522        40.32         20
2023-04-07 23:21:27.616 -17.417244        40.32         20
2023-04-07 23:21:27.835 -17.652715        40.32         20
2023-04-07 23:21:28.048 -17.366786        40.32         20
2023-04-07 23:21:28.257 -16.979940        40.32         20
2023-04-07 23:21:28.465 -16.979940        40.32         20
2023-04-07 23:21:28.673 -17.013579        40.32         20
2023-04-07 23:21:28.881 -17.131314        40.32         20
2023-04-07 23:21:29.090 -17.299508        40.32         20
2023-04-07 23:21:29.298 -17.181773        40.32         20
2023-04-07 23:21:29.475 -17.215411        40.32         20
2023-04-07 23:21:29.683 -17.501341        40.32         20
2023-04-07 23:21:29.890 -17.501341        40.32         20
2023-04-07 23:21:30.099 -17.619077        40.32         20
2023-04-07 23:21:30.307 -17.686354        40.32         20
2023-04-07 23:21:30.516 -18.056381        40.32         20
2023-04-07 23:21:30.717 -18.308672        40.35         20
2023-04-07 23:21:30.916 -18.493685        40.35         20
2023-04-07 23:21:31.124 -18.779614        40.35         20
2023-04-07 23:21:31.330 -18.947808        40.35         20
2023-04-07 23:21:31.539 -19.099183        40.35         20
2023-04-07 23:21:31.760 -19.183280        40.32         20
2023-04-07 23:21:31.972 -19.233738        40.32         20
2023-04-07 23:21:32.181 -19.385112        40.32         20
2023-04-07 23:21:32.389 -19.502848        40.32         20
2023-04-07 23:21:32.597 -19.401932        40.32         20
2023-04-07 23:21:32.805 -19.317835        40.32         20
2023-04-07 23:21:33.013 -19.216918        40.32         20
2023-04-07 23:21:33.223 -19.099183        40.32         20
2023-04-07 23:21:33.413 -18.863711        40.32         20
2023-04-07 23:21:33.621 -19.132821        40.32         20
2023-04-07 23:21:33.830 -18.493685        40.32         20
2023-04-07 23:21:34.038 -18.594601        40.32         20
2023-04-07 23:21:34.231 -18.560962        40.32         20
2023-04-07 23:21:34.436 -18.661879        40.32         20
2023-04-07 23:21:34.636 -18.796434        40.32         20
2023-04-07 23:21:34.839 -18.661879        40.32         20
2023-04-07 23:21:35.048 -18.678698        40.32         20
2023-04-07 23:21:35.256 -19.116002        40.32         20
2023-04-07 23:21:35.464 -18.998266        40.32         20
2023-04-07 23:21:35.682 -18.712337        40.32         20
2023-04-07 23:21:35.896 -19.132821        40.32         20
2023-04-07 23:21:36.105 -18.930989        40.32         20
2023-04-07 23:21:36.313 -18.863711        40.32         20
2023-04-07 23:21:36.521 -18.729156        40.32         20
2023-04-07 23:21:36.729 -18.897350        40.32         20
2023-04-07 23:21:36.938 -18.308672        40.32         20
2023-04-07 23:21:37.145 -18.241394        40.32         20
2023-04-07 23:21:37.321 -18.005923        40.32         20
2023-04-07 23:21:37.529 -17.854548        40.32         20
2023-04-07 23:21:37.738 -17.585438        40.32         20
2023-04-07 23:21:37.946 -17.366786        40.32         20
2023-04-07 23:21:38.153 -17.366786        40.32         20
2023-04-07 23:21:38.359 -17.282689        40.32         20
2023-04-07 23:21:38.558 -17.215411        40.32         20
2023-04-07 23:21:38.763 -17.164953        40.32         20
2023-04-07 23:21:38.971 -17.349966        40.32         20
2023-04-07 23:21:39.179 -17.333147        40.32         20
2023-04-07 23:21:39.387 -17.349966        40.32         20
2023-04-07 23:21:39.603 -17.518160        40.32         20
2023-04-07 23:21:39.820 -18.022742        40.32         20
2023-04-07 23:21:40.026 -17.955464        40.32         20
2023-04-07 23:21:40.235 -18.476865        40.32         20
2023-04-07 23:21:40.443 -18.493685        40.32         20
2023-04-07 23:21:40.652 -18.560962        40.32         20
2023-04-07 23:21:40.861 -18.779614        40.32         20
2023-04-07 23:21:41.068 -19.368293        40.35         20
2023-04-07 23:21:41.245 -19.351474        40.35         20
2023-04-07 23:21:41.453 -19.385112        40.32         20
2023-04-07 23:21:41.660 -19.418751        40.35         20
2023-04-07 23:21:41.868 -19.738319        40.35         20
2023-04-07 23:21:42.077 -19.704681        40.35         20
2023-04-07 23:21:42.277 -19.401932        40.35         20
2023-04-07 23:21:42.477 -19.687861        40.35         20
2023-04-07 23:21:42.686 -19.755139        40.35         20
2023-04-07 23:21:42.894 -19.687861        40.35         20
2023-04-07 23:21:43.118 -19.704681        40.35         20
2023-04-07 23:21:43.326 -19.586945        40.35         20
2023-04-07 23:21:43.518 -19.721500        40.35         20
2023-04-07 23:21:43.737 -19.317835        40.35         20
2023-04-07 23:21:43.951 -19.738319        40.35         20
2023-04-07 23:21:44.159 -19.603764        40.35         20
2023-04-07 23:21:44.368 -19.637403        40.35         20
2023-04-07 23:21:44.576 -19.620584        40.35         20
2023-04-07 23:21:44.784 -19.788778        40.35         20
2023-04-07 23:21:44.992 -19.839236        40.35         20
2023-04-07 23:21:45.169 -19.519667        40.35         20
2023-04-07 23:21:45.376 -19.889694        40.35         20
2023-04-07 23:21:45.585 -19.671042        40.35         20
2023-04-07 23:21:45.793 -19.721500        40.35         20
2023-04-07 23:21:45.997 -19.704681        40.35         20
2023-04-07 23:21:46.197 -19.570126        40.35         20
2023-04-07 23:21:46.400 -19.418751        40.35         20
2023-04-07 23:21:46.610 -19.620584        40.35         20
2023-04-07 23:21:46.818 -19.620584        40.35         20
2023-04-07 23:21:47.027 -19.502848        40.35         20
2023-04-07 23:21:47.234 -19.502848        40.35         20
2023-04-07 23:21:47.443 -20.024249        40.35         20
2023-04-07 23:21:47.650 -19.771958        40.35         20
2023-04-07 23:21:47.871 -19.822416        40.35         20
2023-04-07 23:21:48.083 -19.334654        40.35         20
2023-04-07 23:21:48.290 -19.906513        40.35         20
2023-04-07 23:21:48.500 -19.788778        40.35         20
2023-04-07 23:21:48.708 -19.822416        40.35         20
2023-04-07 23:21:48.916 -19.755139        40.35         20
2023-04-07 23:21:49.091 -19.586945        40.35         20
2023-04-07 23:21:49.301 -19.570126        40.35         20
2023-04-07 23:21:49.508 -19.519667        40.35         20
2023-04-07 23:21:49.717 -19.250557        40.35         20
2023-04-07 23:21:49.917 -19.200099        40.35         20
