rad;temperatura;elevazione;;;
3846;40.29;25;;;
3864;40.32;25;;;
3845;40.32;25;;;
3851;40.32;25;;;
3849;40.32;25;;;
3862;40.32;25;;;
3853;40.32;25;;;
3869;40.32;25;;;
3869;40.32;25;;;
3896;40.32;25;;;
3890;40.32;25;;;
3879;40.32;25;;;
3881;40.32;25;;;
3857;40.32;25;;;
3872;40.32;25;;;
3850;40.32;25;;;
3834;40.32;25;;;
3847;40.32;25;;;
3839;40.32;25;;;
3831;40.32;25;;;
3821;40.32;25;;;
3813;40.32;25;;;
3785;40.32;25;;;
3809;40.32;25;;;
3795;40.29;25;;;
3776;40.29;25;;;
3762;40.29;25;;;
3760;40.29;25;;;
3754;40.29;25;;;
3722;40.32;25;;;
3739;40.32;25;;;
3724;40.32;25;;;
3721;40.32;25;;;
3717;40.32;25;;;
3705;40.32;25;;;
3729;40.32;25;;;
3729;40.32;25;;;
3759;40.32;25;;;
3761;40.32;25;;;
3794;40.32;25;;;
3804;40.32;25;;;
3814;40.32;25;;;
3830;40.32;25;;;
3831;40.32;25;;;
3841;40.32;25;;;
3861;40.32;25;;;
3873;40.32;25;;;
3883;40.32;25;;;
3894;40.32;25;;;
3883;40.32;25;;;
3888;40.32;25;;;
3883;40.32;25;;;
3899;40.32;25;;;
3883;40.32;25;;;
3908;40.32;25;;;
3871;40.32;25;;;
3857;40.32;25;;;
3844;40.32;25;;;
3853;40.32;25;;;
3832;40.32;25;;;
3812;40.32;25;;;
3813;40.32;25;;;
3787;40.35;25;;;
3785;40.32;25;;;
3771;40.32;25;;;
3734;40.32;25;;;
3743;40.35;25;;;
3734;40.32;25;;;
3731;40.32;25;;;
3715;40.32;25;;;
3740;40.32;25;;;
3730;40.32;25;;;
3709;40.32;25;;;
3703;40.32;25;;;
3692;40.32;25;;;
3701;40.32;25;;;
3700;40.32;25;;;
3693;40.32;25;;;
3712;40.32;25;;;
3720;40.32;25;;;
3731;40.32;25;;;
3760;40.32;25;;;
3739;40.32;25;;;
3744;40.32;25;;;
3747;40.32;25;;;
3752;40.32;25;;;
3759;40.32;25;;;
3752;40.32;25;;;
