rad;T;elevaz;;media ;dev std
2891;40.22;55;;;
2888;40.22;55;;;
2879;40.22;55;;;
2888;40.22;55;;;
2876;40.22;55;;;
2884;40.22;55;;;
2883;40.22;55;;;
2873;40.22;55;;;
2872;40.22;55;;;
2885;40.22;55;;;
2870;40.22;55;;;
2873;40.22;55;;;
2861;40.22;55;;;
2871;40.22;55;;;
2876;40.22;55;;;
2895;40.22;55;;;
2887;40.22;55;;;
2899;40.22;55;;;
2881;40.22;55;;;
2906;40.22;55;;;
2902;40.22;55;;;
2905;40.22;55;;;
2899;40.22;55;;;
2890;40.22;55;;;
2906;40.22;55;;;
2922;40.22;55;;;
2925;40.22;55;;;
