rad;T;elevaz;;media;dev std
2660;40.35;50;;;
2673;40.35;50;;;
2671;40.35;50;;;
2675;40.35;50;;;
2669;40.35;50;;;
2679;40.35;50;;;
2676;40.35;50;;;
2673;40.35;50;;;
2667;40.35;50;;;
2667;40.35;50;;;
2672;40.35;50;;;
2661;40.35;50;;;
2657;40.35;50;;;
2651;40.35;50;;;
2665;40.35;50;;;
2663;40.35;50;;;
2665;40.35;50;;;
2681;40.35;50;;;
2656;40.35;50;;;
2671;40.35;50;;;
2648;40.35;50;;;
2662;40.35;50;;;
2670;40.32;50;;;
2666;40.32;50;;;
2665;40.32;50;;;
2689;40.32;50;;;
2688;40.32;50;;;
2716;40.32;50;;;
2729;40.32;50;;;
2703;40.32;50;;;
2715;40.32;50;;;
2707;40.32;50;;;
2698;40.32;50;;;
2699;40.32;50;;;
2701;40.32;50;;;
2706;40.32;50;;;
2691;40.32;50;;;
2663;40.32;50;;;
2666;40.32;50;;;
2659;40.32;50;;;
2666;40.32;50;;;
2668;40.32;50;;;
2671;40.32;50;;;
2669;40.32;50;;;
2677;40.32;50;;;
2662;40.32;50;;;
2667;40.32;50;;;
2668;40.32;50;;;
2651;40.29;50;;;
2669;40.32;50;;;
2665;40.29;50;;;
2667;40.29;50;;;
2648;40.29;50;;;
2660;40.29;50;;;
2661;40.29;50;;;
2651;40.29;50;;;
2650;40.29;50;;;
2670;40.29;50;;;
2647;40.29;50;;;
2652;40.29;50;;;
2656;40.29;50;;;
2651;40.29;50;;;
2665;40.29;50;;;
2643;40.29;50;;;
2653;40.29;50;;;
2639;40.29;50;;;
2665;40.29;50;;;
2651;40.29;50;;;
2667;40.29;50;;;
2658;40.29;50;;;
2669;40.29;50;;;
2657;40.29;50;;;
2687;40.29;50;;;
2696;40.29;50;;;
2684;40.29;50;;;
2710;40.26;50;;;
2699;40.29;50;;;
2714;40.29;50;;;
2716;40.26;50;;;
2692;40.26;50;;;
2681;40.26;50;;;
2706;40.26;50;;;
2688;40.26;50;;;
2701;40.26;50;;;
2696;40.26;50;;;
2707;40.26;50;;;
2697;40.26;50;;;
2675;40.26;50;;;
2686;40.26;50;;;
2665;40.26;50;;;
2685;40.26;50;;;
2683;40.26;50;;;
2685;40.26;50;;;
2680;40.26;50;;;
2691;40.26;50;;;
2683;40.26;50;;;
2703;40.26;50;;;
2691;40.26;50;;;
2685;40.26;50;;;
2681;40.26;50;;;
2677;40.26;50;;;
2688;40.26;50;;;
2673;40.26;50;;;
2706;40.26;50;;;
2680;40.26;50;;;
2687;40.26;50;;;
2707;40.26;50;;;
2697;40.26;50;;;
2704;40.26;50;;;
2681;40.26;50;;;
2699;40.26;50;;;
2702;40.26;50;;;
2689;40.26;50;;;
2691;40.26;50;;;
2710;40.26;50;;;
2711;40.26;50;;;
2693;40.26;50;;;
2695;40.26;50;;;
2697;40.26;50;;;
2704;40.26;50;;;
2694;40.22;50;;;
2690;40.22;50;;;
2680;40.22;50;;;
2680;40.22;50;;;
2672;40.22;50;;;
2667;40.22;50;;;
2682;40.26;50;;;
2668;40.26;50;;;
2668;40.22;50;;;
2669;40.26;50;;;
2663;40.22;50;;;
2659;40.22;50;;;
2686;40.22;50;;;
2670;40.22;50;;;
2675;40.22;50;;;
2676;40.22;50;;;
2672;40.22;50;;;
2649;40.26;50;;;
2656;40.26;50;;;
2665;40.26;50;;;
2659;40.26;50;;;
2657;40.26;50;;;
2664;40.26;50;;;
2660;40.26;50;;;
2663;40.26;50;;;
2675;40.26;50;;;
2661;40.26;50;;;
2678;40.26;50;;;
2674;40.26;50;;;
2685;40.26;50;;;
2683;40.26;50;;;
2684;40.26;50;;;
2675;40.26;50;;;
2663;40.26;50;;;
2683;40.26;50;;;
2666;40.26;50;;;
2663;40.26;50;;;
2660;40.26;50;;;
2680;40.26;50;;;
2663;40.26;50;;;
2674;40.26;50;;;
2679;40.26;50;;;
2678;40.26;50;;;
2678;40.26;50;;;
2680;40.26;50;;;
2694;40.26;50;;;
2688;40.26;50;;;
2692;40.26;50;;;
2705;40.26;50;;;
2702;40.26;50;;;
2703;40.26;50;;;
2704;40.26;50;;;
